tempo, streams
124.148, 801581593
140.042, 799944760
99.034, 797164189
130.041, 796978363
95.881, 790495138
105.006, 789854274
101.19, 786987301
89.911, 786652132
122.953, 785924030
77.176, 784711973
91.873, 780246421
121.932, 778710435
99.968, 775724415
141.02, 773314033
150.076, 772646450
165.995, 769770894
82.642, 767331263
104.988, 766350393
98.002, 766223621
97.028, 765728252
120.966, 765580936
120.031, 765387748
168.946, 765114813
180.067, 761361926
93.989, 759270487
143.986, 754921043
103.967, 753828189
108.375, 753614642
143.95, 750917723
135.917, 745669368
122.031, 744945549
121.975, 743328586
110.056, 743092114
191.9, 739716586
107.989, 739585105
111.945, 738150764
122.104, 737502479
131.121, 735600621
155.096, 730329585
139.951, 728995144
114.044, 724728961
80.924, 720836953
130.033, 720473756
120.001, 715732552
87.981, 714973753
95.079, 714909410
89.965, 714164898
119.93, 711982552
146.097, 711360661
91.03, 709056539
143.874, 707249499
170.01, 704792559
203.759, 703557767
139.994, 700984144
145.494, 700458491
102.998, 697480458
78.403, 692575781
111.005, 691040730
97.062, 688289134
126.899, 687647813
78.558, 687337926
110.962, 682073103
141.971, 681892436
169.918, 679526391
113.011, 678936475
100.041, 676999338
125.905, 676704919
125.971, 672674643
113.95, 671297751
132.962, 666819252
117.973, 664141828
103.809, 663733710
185.727, 663695650
147.986, 662695710
118.091, 661883213
126.011, 661022435
105.027, 660951538
106.999, 659725369
99.947, 658544359
99.968, 657716663
150.231, 654675084
130.001, 649281345
99.974, 647339481
114.996, 643040689
112.067, 642210489
104.823, 640286925
81.001, 639775605
117.999, 639113596
68.534, 637369229
159.966, 631284458
176.169, 630293953
100.023, 629880837
113.003, 629785737
97.994, 629681187
107.008, 627361140
172.012, 626872966
140.06, 624608788
94.999, 624439950
124.98, 622363557
169.928, 620866317
90.02, 619973040
167.968, 619183535
169.982, 616979763
100.02, 614422607
100.065, 614416637
168.924, 611454554
116.032, 610867141
148.088, 608632072
85.012, 606681465
159.772, 605801675
167.88, 604447881
107.993, 603238182
129.972, 602692790
138.992, 600199164
85.03, 597460017
121.996, 597230342
126.026, 596189578
123.941, 596042705
136.948, 594382176
92.004, 593777301
106.966, 593025420
131.199, 591285457
67.033, 588484750
83.995, 584378254
89.949, 583806587
129.989, 582781876
169.888, 581354380
89.937, 581186408
96.507, 580565818
122.98, 577050376
91.97, 576772414
120.001, 575199816
120.018, 571321774
75.801, 570566236
78.998, 570439539
140.098, 564553367
124.982, 563585904
127.087, 562351625
122.863, 562297294
98.064, 561565071
136.851, 561191462
123.056, 561157141
140.022, 557605940
186.054, 555664285
169.914, 555347680
175.212, 555071861
89.938, 554678409
141.095, 553546418
173.799, 553335810
122.016, 552086741
110.011, 550864085
171.355, 548930070
91.973, 548583436
130.04, 548082651
178.781, 547002696
115.042, 546496040
93.005, 545746256
101.965, 543732279
99.943, 542572346
98.224, 541163031
102.013, 540860115
153.15, 540741681
138.419, 540023925
77.169, 539987334
171.017, 539429341
104.992, 538744757
80.126, 536995740
132.507, 535964658
87.01, 535405134
201.739, 534994261
110.567, 533033471
99.99, 531518241
135.007, 529821512
150.073, 527426347
92.99, 525228198
123.07, 525181112
124.08, 524102489
202.466, 523787897
86.003, 522394456
81.604, 521624572
136.041, 520743203
89.087, 519289468
90.02, 517252696
106.96, 516283279
99.029, 515668834
109.978, 515489076
91.007, 514827624
83.118, 514733218
96.057, 513706149
138.005, 513053399
104.994, 512987907
81.993, 512900063
148.033, 512388123
131.036, 511902114
64.934, 510902331
123.984, 510789619
133.976, 509862535
100.541, 508783617
140.02, 508438262
94.775, 508099076
97.979, 506544287
143.978, 504372752
178.765, 504035633
79.028, 503940750
112.05, 503910352
106.028, 502279002
159.876, 500381084
109.967, 498836583
97.949, 498584862
109.021, 498270410
112.022, 497879372
132.023, 497215439
83.97, 497087870
124.989, 496149364
104.983, 494999870
180.042, 494566732
143.876, 494204874
137.972, 493933128
94.473, 493252610
104.957, 492923966
124.934, 492208947
94.996, 491633142
120.151, 490705759
103.989, 490517293
136.041, 489875519
94.933, 488574807
150.062, 487461780
134.009, 484524882
92.213, 484411361
119.705, 483558041
180.073, 483456853
143.955, 483126319
168.169, 483027771
100.964, 482280122
127.986, 481412467
93.005, 479665166
97.013, 479414025
95.05, 478330446
89.792, 476641105
131.443, 473537915
127.962, 473041960
161.993, 470759844
151.251, 470459140
114.011, 470238500
100.021, 469893023
105.02, 468625747
100.007, 468474147
118.091, 465444924
117.913, 464043121
93.973, 463208596
96.133, 463107479
101.018, 462389197
172.041, 462080101
121.963, 461870187
124.927, 461769872
88.048, 461538435
113.26, 460695880
117.187, 460094990
175.896, 460049685
174.14, 459536080
123.935, 458741117
80.87, 457430169
148.015, 457386155
72.017, 457105916
126.956, 456690515
158.087, 454946681
111.98, 451447394
173.93, 451040923
106.966, 450015953
157.795, 449496630
112.511, 448909392
96.018, 448560983
140.026, 448180674
96.985, 447488884
127.085, 446658746
90.035, 445758589
172.041, 445236412
141.904, 442696994
144.981, 441139199
77.639, 440141102
169.999, 439898870
154.084, 439792906
134.17, 439293687
117.953, 437304511
167.997, 436757540
137.958, 435087247
131.842, 432040283
172.929, 431404563
168.021, 430221400
126.421, 430024088
109.997, 427732427
128.977, 427392173
77.011, 426802733
124.987, 426117643
98.994, 425321887
159.94, 424365203
105.005, 424101353
126.684, 424000376
120.046, 423121248
79.975, 422808274
117.995, 421545020
107.01, 421527037
121.958, 420504317
174.302, 420314822
135.984, 420282616
96.022, 418157690
124.357, 417174517
156.295, 416847354
125.983, 415349166
104.016, 414370462
128.986, 413946382
91.97, 413638653
108.044, 412798895
160.033, 412250183
71.994, 411018135
98.005, 409903892
179.626, 408484215
80.015, 408392662
101.987, 407647221
104.066, 407315701
149.921, 406060550
96.172, 405534381
136.175, 405459984
90.013, 405092672
121.981, 405039911
150.187, 404690774
180.051, 403657974
97.963, 401900522
144.937, 401880746
138.078, 401473648
94.009, 401355680
142.094, 401156494
145.007, 399861973
162.469, 399410845
123.01, 398164413
153.979, 396326912
89.391, 395722726
83.903, 394900744
128.005, 394343157
139.056, 392947273
110.071, 389607075
124.08, 389223199
163.908, 388821456
96.924, 388645595
121.955, 386272122
118.917, 384882550
103.036, 382889819
148.733, 381181392
129.979, 380940478
149.996, 380720201
74.029, 379703027
124.114, 379486906
146.034, 379231112
104.998, 378596557
83.389, 378241571
160.053, 377924843
136.019, 377792869
113.804, 376569603
176.044, 375834575
142.053, 375526537
116.041, 374961417
144.991, 374847895
127.079, 373507156
101.956, 373306837
116.622, 373006602
87.51, 372862481
92.928, 371589279
172.031, 371254425
102.211, 370742739
101.058, 370287362
119.497, 369717137
106.017, 369098773
99.977, 367966603
118.048, 367963333
129.953, 367778120
171.993, 366979516
75.016, 365725976
110.009, 364119973
145.867, 364012000
163.071, 363707607
110.968, 363116541
119.988, 361967228
171.943, 360902838
119.991, 360863018
142.037, 359021893
86.919, 358694405
107.005, 358676525
157.643, 358112601
139.913, 357834761
124.917, 357822888
148.038, 356863532
169.914, 356682908
90.052, 355747971
130.503, 355367964
132.023, 355050626
103.952, 354931514
154.983, 354736338
121.03, 354403228
91.987, 353903896
102.034, 353496298
93.023, 353278785
121.969, 353272017
139.999, 352970058
121.002, 352829875
108.965, 352156501
94.014, 351433215
155.096, 350076959
126.77, 349204717
125.031, 348877795
77.011, 347773062
97.014, 347083812
144.072, 346503881
125.993, 344772188
196.12, 344412193
179.798, 344297250
199.864, 344154452
144.107, 342384804
93.35, 341706853
149.972, 341196745
144.828, 341165272
104.97, 340957078
119.889, 339921770
163.929, 338795551
106.97, 338424689
125.978, 338336204
142.169, 338108854
151.701, 337715834
94.023, 337326802
166.0, 336084126
126.058, 335855240
114.965, 335307150
94.992, 335158647
97.989, 334701158
102.977, 334425361
140.987, 333763000
104.053, 333062937
133.854, 332840904
192.091, 332662642
121.993, 332325551
111.202, 330784404
85.03, 330743458
100.012, 329925388
180.034, 329722532
140.04, 329553281
104.99, 329306934
136.952, 329087902
170.082, 329021065
159.92, 328817483
110.015, 328112360
100.07, 327618324
97.008, 327609522
161.989, 327566382
99.992, 327393680
119.9, 327263732
179.974, 326794641
112.985, 326194123
